global_step,episodic_return
5.600000000000000000e+01,1.400000000000000000e+01
6.000000000000000000e+01,1.500000000000000000e+01
6.400000000000000000e+01,1.600000000000000000e+01
1.120000000000000000e+02,2.800000000000000000e+01
1.160000000000000000e+02,1.300000000000000000e+01
1.880000000000000000e+02,1.800000000000000000e+01
2.200000000000000000e+02,2.500000000000000000e+01
2.480000000000000000e+02,4.700000000000000000e+01
2.720000000000000000e+02,2.000000000000000000e+01
3.000000000000000000e+02,5.800000000000000000e+01
3.320000000000000000e+02,2.700000000000000000e+01
3.320000000000000000e+02,1.400000000000000000e+01
3.800000000000000000e+02,3.200000000000000000e+01
4.280000000000000000e+02,2.300000000000000000e+01
4.320000000000000000e+02,3.200000000000000000e+01
4.760000000000000000e+02,3.500000000000000000e+01
5.160000000000000000e+02,9.000000000000000000e+00
5.200000000000000000e+02,3.400000000000000000e+01
5.320000000000000000e+02,2.400000000000000000e+01
5.800000000000000000e+02,3.700000000000000000e+01
5.840000000000000000e+02,1.200000000000000000e+01
6.080000000000000000e+02,2.100000000000000000e+01
6.160000000000000000e+02,2.400000000000000000e+01
6.520000000000000000e+02,1.000000000000000000e+01
7.000000000000000000e+02,2.000000000000000000e+01
7.280000000000000000e+02,3.500000000000000000e+01
7.360000000000000000e+02,2.000000000000000000e+01
7.480000000000000000e+02,4.100000000000000000e+01
7.760000000000000000e+02,1.800000000000000000e+01
7.920000000000000000e+02,1.500000000000000000e+01
8.360000000000000000e+02,2.400000000000000000e+01
9.120000000000000000e+02,3.300000000000000000e+01
9.160000000000000000e+02,4.100000000000000000e+01
9.240000000000000000e+02,2.100000000000000000e+01
9.720000000000000000e+02,1.400000000000000000e+01
1.000000000000000000e+03,2.000000000000000000e+01
1.004000000000000000e+03,5.200000000000000000e+01
1.036000000000000000e+03,1.500000000000000000e+01
1.096000000000000000e+03,2.200000000000000000e+01
1.104000000000000000e+03,4.400000000000000000e+01
1.108000000000000000e+03,1.700000000000000000e+01
1.132000000000000000e+03,3.200000000000000000e+01
1.180000000000000000e+03,1.100000000000000000e+01
1.184000000000000000e+03,2.100000000000000000e+01
1.216000000000000000e+03,2.700000000000000000e+01
1.232000000000000000e+03,1.100000000000000000e+01
1.244000000000000000e+03,3.300000000000000000e+01
1.284000000000000000e+03,2.500000000000000000e+01
1.296000000000000000e+03,1.200000000000000000e+01
1.308000000000000000e+03,1.800000000000000000e+01
1.336000000000000000e+03,1.200000000000000000e+01
1.368000000000000000e+03,1.700000000000000000e+01
1.368000000000000000e+03,3.700000000000000000e+01
1.400000000000000000e+03,1.500000000000000000e+01
1.420000000000000000e+03,1.200000000000000000e+01
1.424000000000000000e+03,1.300000000000000000e+01
1.424000000000000000e+03,2.800000000000000000e+01
1.500000000000000000e+03,1.800000000000000000e+01
1.520000000000000000e+03,2.300000000000000000e+01
1.544000000000000000e+03,3.500000000000000000e+01
1.544000000000000000e+03,3.000000000000000000e+01
1.584000000000000000e+03,1.500000000000000000e+01
1.592000000000000000e+03,2.200000000000000000e+01
1.620000000000000000e+03,1.800000000000000000e+01
1.656000000000000000e+03,1.500000000000000000e+01
1.688000000000000000e+03,3.500000000000000000e+01
1.688000000000000000e+03,2.500000000000000000e+01
1.716000000000000000e+03,2.300000000000000000e+01
1.756000000000000000e+03,1.600000000000000000e+01
1.812000000000000000e+03,3.000000000000000000e+01
1.812000000000000000e+03,2.300000000000000000e+01
1.816000000000000000e+03,1.400000000000000000e+01
1.864000000000000000e+03,1.200000000000000000e+01
1.896000000000000000e+03,5.900000000000000000e+01
1.932000000000000000e+03,2.800000000000000000e+01
1.936000000000000000e+03,3.000000000000000000e+01
1.948000000000000000e+03,2.000000000000000000e+01
1.988000000000000000e+03,2.200000000000000000e+01
1.988000000000000000e+03,1.200000000000000000e+01
2.000000000000000000e+03,1.600000000000000000e+01
2.044000000000000000e+03,1.300000000000000000e+01
2.044000000000000000e+03,1.300000000000000000e+01
2.132000000000000000e+03,4.500000000000000000e+01
2.140000000000000000e+03,2.300000000000000000e+01
2.156000000000000000e+03,3.800000000000000000e+01
2.232000000000000000e+03,1.800000000000000000e+01
2.292000000000000000e+03,3.700000000000000000e+01
2.296000000000000000e+03,1.500000000000000000e+01
2.320000000000000000e+03,4.600000000000000000e+01
2.340000000000000000e+03,7.300000000000000000e+01
2.344000000000000000e+03,1.200000000000000000e+01
2.388000000000000000e+03,2.200000000000000000e+01
2.396000000000000000e+03,1.800000000000000000e+01
2.456000000000000000e+03,2.700000000000000000e+01
2.464000000000000000e+03,3.000000000000000000e+01
2.516000000000000000e+03,3.100000000000000000e+01
2.532000000000000000e+03,1.800000000000000000e+01
2.556000000000000000e+03,2.200000000000000000e+01
2.604000000000000000e+03,5.100000000000000000e+01
2.604000000000000000e+03,2.100000000000000000e+01
2.608000000000000000e+03,1.800000000000000000e+01
2.616000000000000000e+03,1.400000000000000000e+01
2.676000000000000000e+03,1.400000000000000000e+01
2.688000000000000000e+03,2.000000000000000000e+01
2.692000000000000000e+03,2.000000000000000000e+01
2.716000000000000000e+03,2.700000000000000000e+01
2.800000000000000000e+03,2.000000000000000000e+01
2.900000000000000000e+03,5.100000000000000000e+01
2.900000000000000000e+03,5.200000000000000000e+01
2.932000000000000000e+03,3.200000000000000000e+01
2.960000000000000000e+03,7.000000000000000000e+01
3.008000000000000000e+03,1.800000000000000000e+01
3.052000000000000000e+03,3.700000000000000000e+01
3.080000000000000000e+03,2.900000000000000000e+01
3.092000000000000000e+03,2.000000000000000000e+01
3.116000000000000000e+03,1.500000000000000000e+01
3.136000000000000000e+03,5.800000000000000000e+01
3.188000000000000000e+03,2.600000000000000000e+01
3.220000000000000000e+03,2.000000000000000000e+01
3.248000000000000000e+03,3.200000000000000000e+01
3.296000000000000000e+03,1.100000000000000000e+01
3.312000000000000000e+03,3.000000000000000000e+01
3.364000000000000000e+03,6.700000000000000000e+01
3.384000000000000000e+03,4.000000000000000000e+01
3.436000000000000000e+03,3.400000000000000000e+01
3.480000000000000000e+03,4.100000000000000000e+01
3.548000000000000000e+03,2.700000000000000000e+01
3.636000000000000000e+03,6.200000000000000000e+01
3.656000000000000000e+03,2.600000000000000000e+01
3.668000000000000000e+03,7.500000000000000000e+01
3.704000000000000000e+03,1.600000000000000000e+01
3.764000000000000000e+03,7.000000000000000000e+01
3.800000000000000000e+03,2.300000000000000000e+01
3.824000000000000000e+03,4.100000000000000000e+01
3.856000000000000000e+03,2.200000000000000000e+01
3.928000000000000000e+03,3.100000000000000000e+01
3.972000000000000000e+03,7.500000000000000000e+01
3.996000000000000000e+03,3.400000000000000000e+01
4.040000000000000000e+03,1.600000000000000000e+01
4.088000000000000000e+03,3.900000000000000000e+01
4.100000000000000000e+03,6.800000000000000000e+01
4.136000000000000000e+03,2.300000000000000000e+01
4.160000000000000000e+03,1.400000000000000000e+01
4.164000000000000000e+03,1.800000000000000000e+01
4.172000000000000000e+03,4.300000000000000000e+01
4.244000000000000000e+03,2.000000000000000000e+01
4.268000000000000000e+03,2.300000000000000000e+01
4.268000000000000000e+03,3.200000000000000000e+01
4.296000000000000000e+03,3.200000000000000000e+01
4.360000000000000000e+03,2.800000000000000000e+01
4.368000000000000000e+03,2.400000000000000000e+01
4.392000000000000000e+03,3.000000000000000000e+01
4.404000000000000000e+03,2.600000000000000000e+01
4.488000000000000000e+03,2.900000000000000000e+01
4.504000000000000000e+03,2.400000000000000000e+01
4.556000000000000000e+03,1.200000000000000000e+01
4.560000000000000000e+03,1.700000000000000000e+01
4.600000000000000000e+03,5.900000000000000000e+01
4.632000000000000000e+03,5.900000000000000000e+01
4.772000000000000000e+03,4.200000000000000000e+01
4.824000000000000000e+03,6.500000000000000000e+01
4.828000000000000000e+03,6.700000000000000000e+01
4.880000000000000000e+03,6.100000000000000000e+01
4.992000000000000000e+03,5.400000000000000000e+01
5.012000000000000000e+03,3.200000000000000000e+01
5.016000000000000000e+03,4.600000000000000000e+01
5.080000000000000000e+03,2.100000000000000000e+01
5.100000000000000000e+03,6.800000000000000000e+01
5.124000000000000000e+03,2.700000000000000000e+01
5.160000000000000000e+03,3.500000000000000000e+01
5.252000000000000000e+03,2.200000000000000000e+01
5.312000000000000000e+03,5.700000000000000000e+01
5.384000000000000000e+03,6.400000000000000000e+01
5.404000000000000000e+03,3.700000000000000000e+01
5.420000000000000000e+03,2.600000000000000000e+01
5.476000000000000000e+03,9.300000000000000000e+01
5.492000000000000000e+03,1.700000000000000000e+01
5.540000000000000000e+03,3.800000000000000000e+01
5.560000000000000000e+03,2.000000000000000000e+01
5.628000000000000000e+03,3.300000000000000000e+01
5.656000000000000000e+03,2.800000000000000000e+01
5.660000000000000000e+03,2.400000000000000000e+01
5.708000000000000000e+03,1.900000000000000000e+01
5.760000000000000000e+03,2.500000000000000000e+01
5.768000000000000000e+03,1.400000000000000000e+01
5.800000000000000000e+03,9.800000000000000000e+01
5.804000000000000000e+03,3.500000000000000000e+01
5.876000000000000000e+03,2.600000000000000000e+01
5.908000000000000000e+03,2.500000000000000000e+01
5.928000000000000000e+03,4.100000000000000000e+01
5.940000000000000000e+03,3.400000000000000000e+01
6.044000000000000000e+03,4.100000000000000000e+01
6.052000000000000000e+03,3.500000000000000000e+01
6.124000000000000000e+03,1.700000000000000000e+01
6.132000000000000000e+03,2.100000000000000000e+01
6.220000000000000000e+03,2.100000000000000000e+01
6.272000000000000000e+03,8.500000000000000000e+01
6.308000000000000000e+03,9.100000000000000000e+01
6.344000000000000000e+03,3.000000000000000000e+01
6.376000000000000000e+03,6.200000000000000000e+01
6.400000000000000000e+03,3.100000000000000000e+01
6.476000000000000000e+03,1.800000000000000000e+01
6.476000000000000000e+03,4.100000000000000000e+01
6.504000000000000000e+03,3.900000000000000000e+01
6.512000000000000000e+03,3.300000000000000000e+01
6.572000000000000000e+03,2.300000000000000000e+01
6.604000000000000000e+03,2.200000000000000000e+01
6.616000000000000000e+03,2.700000000000000000e+01
6.688000000000000000e+03,1.700000000000000000e+01
6.696000000000000000e+03,3.000000000000000000e+01
6.760000000000000000e+03,3.800000000000000000e+01
6.772000000000000000e+03,7.300000000000000000e+01
6.848000000000000000e+03,1.800000000000000000e+01
6.912000000000000000e+03,5.300000000000000000e+01
6.956000000000000000e+03,6.600000000000000000e+01
7.044000000000000000e+03,7.000000000000000000e+01
7.076000000000000000e+03,5.600000000000000000e+01
7.092000000000000000e+03,4.400000000000000000e+01
